provincia,Poblacion,mes,Num,Total_cap
Jaen,633564,11,6843,0.0108008030759323
La Rioja,316798,1,0,0
La Rioja,316798,2,43,0.000135733180133713
La Rioja,316798,3,2994,0.00945081724000783
La Rioja,316798,4,903,0.00285039678280797
La Rioja,316798,5,64,0.000202021477408317
La Rioja,316798,6,26,8.20712251971288e-05
La Rioja,316798,7,143,0.000451391738584208
La Rioja,316798,8,1780,0.00561872234041882
La Rioja,316798,9,2846,0.0089836425735011
La Rioja,316798,10,4536,0.0143182722113145
La Rioja,316798,11,2780,0.00877530792492377
Las Palmas,1120406,1,0,0
Las Palmas,1120406,2,5,4.46266799713675e-06
Las Palmas,1120406,3,608,0.000542660428451829
Las Palmas,1120406,4,96,8.56832255450257e-05
Las Palmas,1120406,5,32,2.85610751816752e-05
Las Palmas,1120406,6,54,4.81968143690769e-05
Las Palmas,1120406,7,145,0.000129417371916966
Las Palmas,1120406,8,4585,0.0040922665533744
Las Palmas,1120406,9,3754,0.00335057113225027
Las Palmas,1120406,10,1154,0.00102998377373916
Las Palmas,1120406,11,657,0.000586394574823769
Leon,460001,1,0,0
Leon,460001,2,11,2.39129914934968e-05
Leon,460001,3,1513,0.0032891232845146
Leon,460001,4,1263,0.00274564620511695
Leon,460001,5,163,0.00035434705576727
Leon,460001,6,45,9.78258742915776e-05
Leon,460001,7,56,0.000121738865785074
Leon,460001,8,698,0.00151738800567825
Leon,460001,9,3010,0.00654346403594775
Leon,460001,10,7294,0.0158564872685059
Leon,460001,11,4320,0.00939128393199145
Lleida,434930,1,2,4.59844112845745e-06
Lleida,434930,2,3,6.89766169268618e-06
Lleida,434930,3,1167,0.00268319039845492
Lleida,434930,4,741,0.00170372243809349
Lleida,434930,5,497,0.00114271262042168
Lleida,434930,6,1122,0.00257972547306463
Lleida,434930,7,5288,0.0121582783436415
Lleida,434930,8,2408,0.00553652311866277
Lleida,434930,9,1564,0.00359598096245373
Lleida,434930,10,4827,0.0110983376635321
Lleida,434930,11,3228,0.00742188398133033
Lugo,329587,1,0,0
Lugo,329587,2,4,1.21364010109622e-05
Lugo,329587,3,630,0.00191148315922655
Lugo,329587,4,149,0.000452080937658342
Lugo,329587,5,12,3.64092030328866e-05
Lugo,329587,6,70,0.000212387017691839
Lugo,329587,7,234,0.000709979459141289
Lugo,329587,8,960,0.00291273624263093
Lugo,329587,9,922,0.00279744043302679
Lugo,329587,10,1409,0.00427504725611144
Lugo,329587,11,1364,0.00413851274473811
Madrid,6663394,1,42,6.30309418893735e-06
Madrid,6663394,2,880,0.000132064830625354
Madrid,6663394,3,53215,0.00798617041105479
Madrid,6663394,4,15664,0.0023507539851313
Madrid,6663394,5,3475,0.000521506007298983
Madrid,6663394,6,2357,0.000353723642936317
Madrid,6663394,7,6368,0.000955669137979834
Madrid,6663394,8,58141,0.00872543331521444
Madrid,6663394,9,112207,0.0168393164204308
Madrid,6663394,10,62642,0.00940091490912889
Madrid,6663394,11,28275,0.00424333305219532
Malaga,1661785,1,0,0
Malaga,1661785,2,40,2.40705025018279e-05
Malaga,1661785,3,2401,0.00144483191267222
Malaga,1661785,4,440,0.000264775527520106
Malaga,1661785,5,58,3.49022286276504e-05
Malaga,1661785,6,155,9.32731971945829e-05
Malaga,1661785,7,563,0.000338792322713227
Malaga,1661785,8,6409,0.00385669626335537
Malaga,1661785,9,6487,0.00390363374323393
Malaga,1661785,10,8556,0.00514868048514098
Malaga,1661785,11,7174,0.00431704462370283
Melilla,86487,1,0,0
Melilla,86487,2,0,0
Melilla,86487,3,97,0.0011215558407622
Melilla,86487,4,25,0.000289060783701597
Melilla,86487,5,1,1.15624313480639e-05
Melilla,86487,6,5,5.78121567403194e-05
Melilla,86487,7,13,0.00015031160752483
Melilla,86487,8,275,0.00317966862071757
Melilla,86487,9,787,0.00909963347092627
Melilla,86487,10,2100,0.0242811058309341
Melilla,86487,11,653,0.00755026767028571
Murcia,1493898,1,0,0
Murcia,1493898,2,11,7.36328718560437e-06
Murcia,1493898,3,1477,0.000988688652103423
Murcia,1493898,4,184,0.000123167712922837
Murcia,1493898,5,47,3.14613179748551e-05
Murcia,1493898,6,91,6.09144667172725e-05
Murcia,1493898,7,1016,0.000680099980052186
Murcia,1493898,8,6076,0.0040672120854302
Murcia,1493898,9,12766,0.00854542947376595
Murcia,1493898,10,19485,0.0130430591646819
